"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-07","4.70",,"58","67","49",,"  310","  230","14.1","18.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-08","5.14",,"59","76","50",,"  290","  280","21.0","27.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-09","4.92",,"67","84","52",,"  290","  300","19.9","27.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-10","4.25",,"69","83","55",,"  310","  310","12.1","15.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-11","4.70",,"66","79","55",,"  310",,"10.1",
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-12","6.04",,"60","62","57",,"  160","  160","12.1","18.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-13","8.05",,"62","67","50",,"  160","  160","17.0","28.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-14","4.47",,"54","62","49",,"  180","  160","15.0","23.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-15","4.47",,"58","69","50",,"  290","  290","15.0","19.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-16","4.47",,"64","81","53",,"  300",,"17.0",
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-17","4.03",,"65","76","55",,"  310","  170","12.1","16.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-18","5.82",,"63","71","58",,"  210","  220","16.1","25.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-19","6.04",,"63","69","59",,"  290","  200","13.0","18.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-20","4.92",,"63","71","60",,"  290","  180","12.1","17.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-21","4.92",,"64","74","58",,"  310","  310","13.0","21.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-22","4.70",,"62","65","60",,"  230","  190","10.1","16.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-23","5.82",,"63","70","59",,"  300","  310","14.1","18.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-24","6.93",,"63","69","58",,"  290","  290","15.0","19.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-25","4.92",,"62","67","58",,"  220","  220","12.1","16.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-26","7.16",,"63","73","59",,"  260","  280","23.0","31.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-27","4.92",,"62","71","55",,"  190","  180","15.0","21.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-04-28",,,"63",,,,,,,
